agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Seneca Police Dept,municipal_police,place,"Seneca city, Missouri",0,0
Seymour Police Dept,municipal_police,place,"Seymour city, Missouri",0,0
Shannon County Sheriff's Dept,county_sheriff,county,"Shannon County, Missouri",0,0
Shelbina Police Dept,municipal_police,place,"Shelbina city, Missouri",0,0
Shelby County Sheriff's Dept,county_sheriff,county,"Shelby County, Missouri",0,0
Shrewsbury Police Dept,municipal_police,place,"Shrewsbury city, Missouri",0,0
Sikeston Police Dept,municipal_police,place,"Sikeston city, Missouri",0,0
Slater Police Dept,municipal_police,place,"Slater city, Missouri",0,0
Smithton Police Dept,municipal_police,place,"Smithton city, Missouri",0,0
Smithville Police Dept,municipal_police,place,"Smithville city, Missouri",0,0
Southwest City Police Dept,municipal_police,place,"Southwest City city, Missouri",0,0
Sparta Police Dept,municipal_police,place,"Sparta city, Missouri",0,0
Springfield Police Dept,municipal_police,place,"Springfield city, Missouri",0,0
Springfield School Police,municipal_police,place,"Springfield School Police city, Missouri",0,1
Springfield-Branson National Airport Police,municipal_police,place,"Springfield-Branson National Airport Police city, Missouri",0,1
Springfield-Greene County Park Rangers,park_ranger,county,"Greene County, Missouri",0,0
St Ann Police Dept,municipal_police,place,"St Ann city, Missouri",0,0
St Charles City Parks and Recreation Dept,park_ranger,place,"St Charles city, Missouri",0,0
St Charles Community College Police Dept,university,place,"Cottleville city, Missouri",0,0
St Charles County Police Dept,municipal_police,county,"St. Charles County, Missouri",0,0
St Charles County Sheriff's Dept,county_sheriff,county,"St Charles County, Missouri",0,1
St Charles Police Dept,municipal_police,place,"St Charles city, Missouri",0,0
St Clair County Sheriff's Dept,county_sheriff,county,"St Clair County, Missouri",0,0
St Clair Police Dept,municipal_police,place,"St Clair city, Missouri",0,0
St Francois County Sheriff's Dept,county_sheriff,county,"St Francois County, Missouri",0,0
St James Police Dept,municipal_police,place,"St James city, Missouri",0,0
St John Police Dept,municipal_police,place,"St John city, Missouri",0,0
St Joseph Police Dept,municipal_police,place,"St Joseph city, Missouri",0,0
St Louis City Police Dept,municipal_police,place,"St. Louis city, Missouri",0,0
St Louis Community College Police Dept,university,place,"St. Louis city, Missouri",0,0
St Louis County Park Rangers,park_ranger,county,"St. Louis County, Missouri",0,0
St Louis County Police Dept,municipal_police,county,"St. Louis County, Missouri",0,0
St Peters Police Dept,municipal_police,place,"St Peters city, Missouri",0,0
St Robert Police Dept,municipal_police,place,"St Robert city, Missouri",0,0
Ste Genevieve Co Sheriff's Dept,county_sheriff,county,"Ste Genevieve County, Missouri",0,0
Ste Genevieve Police Dept,municipal_police,place,"Ste Genevieve city, Missouri",0,0
Steele Police Dept,municipal_police,place,"Steele city, Missouri",0,0
Steelville Police Dept,municipal_police,place,"Steelville city, Missouri",0,0
Stockton Police Dept,municipal_police,place,"Stockton city, Missouri",0,0
Stoddard County Sheriff's Dept,county_sheriff,county,"Stoddard County, Missouri",0,0
Stone County Sheriff's Dept,county_sheriff,county,"Stone County, Missouri",0,0
Stover Police Dept,municipal_police,place,"Stover city, Missouri",0,0
Strafford Police Dept,municipal_police,place,"Strafford city, Missouri",0,0
Strasburg Police Dept,municipal_police,place,"Strasburg city, Missouri",0,0
Sturgeon Police Dept,municipal_police,place,"Sturgeon city, Missouri",0,0
Sugar Creek Police Dept,municipal_police,place,"Sugar Creek city, Missouri",0,0
Sullivan County Sheriff's Dept,county_sheriff,county,"Sullivan County, Missouri",0,0
Sullivan Police Dept,municipal_police,place,"Sullivan city, Missouri",0,0
Summersville Police Dept,municipal_police,place,"Summersville city, Missouri",0,0
Sunrise Beach Police Dept,municipal_police,place,"Sunrise Beach city, Missouri",0,0
Sunset Hills Police Dept,municipal_police,place,"Sunset Hills city, Missouri",0,0
Sweet Springs Police Dept,municipal_police,place,"Sweet Springs city, Missouri",0,0
Sycamore Hills Police Dept,municipal_police,place,"Sycamore Hills city, Missouri",0,0
Taney County Sheriff's Dept,county_sheriff,county,"Taney County, Missouri",0,0
Tarkio Police Dept,municipal_police,place,"Tarkio city, Missouri",0,0
Terre Du Lac Police Dept,municipal_police,place,"Terre Du Lac city, Missouri",0,0
Texas County Sheriff's Dept,county_sheriff,county,"Texas County, Missouri",0,0
Thayer Police Dept,municipal_police,place,"Thayer city, Missouri",0,0
Tipton Police Dept,municipal_police,place,"Tipton city, Missouri",0,0
Town and Country Police Dept,municipal_police,place,"Town and Country city, Missouri",0,0
Tracy Police Dept,municipal_police,place,"Tracy city, Missouri",0,0
Trenton Police Dept,municipal_police,place,"Trenton city, Missouri",0,0
Troy Police Dept,municipal_police,place,"Troy city, Missouri",0,0
Truesdale Police Dept,municipal_police,place,"Truesdale city, Missouri",0,0
Truman State Univ-Dept of PS,university,place,"Kirksville city, Missouri",0,0
UCM-Dept of Public Safety,university,place,"Warrensburg city, Missouri",0,0
Union Pacific RR Police-Kansas City-St Louis,municipal_police,place,"Union Pacific RR Police-Kansas City-St Louis city, Missouri",0,1
Union Police Dept,municipal_police,place,"Union city, Missouri",0,0
Unionville Police Dept,municipal_police,place,"Unionville city, Missouri",0,0
University City Police Dept,municipal_police,place,"University City city, Missouri",0,0
University of Missouri-Columbia Police Dept,university,place,"Columbia city, Missouri",0,0
University of Missouri-Kansas City Police Dept,university,place,"Kansas City city, Missouri",0,0
University of Missouri-St Louis Police Dept,university,place,"St. Louis city, Missouri",0,0
Uplands Park Police Dept,municipal_police,place,"Uplands Park city, Missouri",0,0
Van Buren Police Dept,municipal_police,place,"Van Buren city, Missouri",0,0
Velda City Police Dept,municipal_police,place,"Velda City city, Missouri",0,0
Vernon County Sheriff's Dept,county_sheriff,county,"Vernon County, Missouri",0,0
Verona Police Dept,municipal_police,place,"Verona city, Missouri",0,0
Versailles Police Dept,municipal_police,place,"Versailles city, Missouri",0,0
Viburnum Police Dept,municipal_police,place,"Viburnum city, Missouri",0,0
Vienna Police Dept,municipal_police,place,"Vienna city, Missouri",0,0
Vinita Park Police Dept,municipal_police,place,"Vinita Park city, Missouri",0,0
Walnut Grove Police Dept,municipal_police,place,"Walnut Grove city, Missouri",0,0
Warren County Sheriff's Dept,county_sheriff,county,"Warren County, Missouri",0,0
Warrensburg Police Dept,municipal_police,place,"Warrensburg city, Missouri",0,0
Warrenton Police Dept,municipal_police,place,"Warrenton city, Missouri",0,0
Warsaw Police Dept,municipal_police,place,"Warsaw city, Missouri",0,0
Warson Woods Police Dept,municipal_police,place,"Warson Woods city, Missouri",0,0
Washburn Police Dept,municipal_police,place,"Washburn city, Missouri",0,0
Washington County Sheriff's Dept,county_sheriff,county,"Washington County, Missouri",0,0
Washington Police Dept,municipal_police,place,"Washington city, Missouri",0,0
Washington University Police Dept,university,place,"St. Louis city, Missouri",0,0
Waverly Police Dept,municipal_police,place,"Waverly city, Missouri",0,0
Wayne County Sheriff's Dept,county_sheriff,county,"Wayne County, Missouri",0,0
Waynesville Police Dept,municipal_police,place,"Waynesville city, Missouri",0,0
Weatherby Lake Police Dept,municipal_police,place,"Weatherby Lake city, Missouri",0,0
Webb City Police Dept,municipal_police,place,"Webb City city, Missouri",0,0
Webster County Sheriff's Dept,county_sheriff,county,"Webster County, Missouri",0,0
