section,agency,metric,year,race,value,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
by_agency,Adair County Sheriff's Dept,search_rate_pct,2024,Hispanic,0.0,county_sheriff,county,"Adair County, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2020,Total,1603.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2020,White,1427.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2020,Black,17.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2020,Hispanic,87.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2021,Total,1945.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2021,White,1731.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2021,Black,21.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2021,Hispanic,106.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2022,Total,1618.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2022,White,1308.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2022,Black,33.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2022,Hispanic,155.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2023,Total,1643.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2023,White,1301.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2023,Black,32.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,total_stops,2023,Hispanic,150.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2020,White,1.75,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2020,Black,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2020,Hispanic,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2021,White,1.73,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2021,Black,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2021,Hispanic,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2022,White,1.99,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2022,Black,9.09,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2022,Hispanic,5.81,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2023,White,65.33,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2023,Black,3.12,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,arrest_rate_pct,2023,Hispanic,4.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2020,White,10.93,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2020,Black,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2020,Hispanic,9.2,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2021,White,10.92,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2021,Black,0.0,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2021,Hispanic,9.43,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2022,White,6.42,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2022,Black,15.15,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2022,Hispanic,7.74,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2023,White,6.53,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2023,Black,6.25,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Anderson Police Dept,search_rate_pct,2023,Hispanic,6.67,municipal_police,place,"Anderson city, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2020,Total,1030.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2020,White,946.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2020,Black,39.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2020,Hispanic,24.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2021,Total,1672.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2021,White,1536.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2021,Black,63.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2021,Hispanic,39.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2022,Total,1263.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2022,White,1164.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2022,Black,48.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2022,Hispanic,34.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2023,Total,1356.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2023,White,1265.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2023,Black,52.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2023,Hispanic,25.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2024,Total,1819.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2024,White,1682.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2024,Black,52.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,total_stops,2024,Hispanic,55.0,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,pct_change_2020_to_2024,2024,White,77.8,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,pct_change_2020_to_2024,2024,Black,33.3,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,pct_change_2020_to_2024,2024,Hispanic,129.2,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2020,White,2.75,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2020,Black,5.13,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2020,Hispanic,8.33,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2021,White,2.73,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2021,Black,4.76,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2021,Hispanic,7.69,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2022,White,6.7,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2022,Black,6.25,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
by_agency,Andrew County Sheriff's Dept,arrest_rate_pct,2022,Hispanic,8.82,county_sheriff,county,"Andrew County, Missouri",0.0,0.0
