year,agency,comment,has_comment,source_pdf,source_url
2023,Caruthersville Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cass County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cassville Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Center Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Centralia Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Chaffee Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Chariton County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Charleston Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Chesterfield Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Chillicothe Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Christian County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,City of Bellerive Acres,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,City of California Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,City of Oakland Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clarence Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clark County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clarkton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clay County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clayton Police Dept,"As the County Seat, Clayton is home to the St. Louis County courts, Government Center, the Justice Center, and many other social services. Clayton is also home to major corporations, two universities, and a destination for restaurants and retail businesses. As a hub of economic, governmental, and educational activity for the entire region, Clayton welcomes diverse visitors to the community. The daytime population of Clayton increases substantially due to these activities and amenities. Clayton also borders two diverse communities in St. Louis City and University City. Based on these characteristics, the use of Clayton's residential population is an inadequate method for measuring disparities in traffic stops. In 2023, no complaints of racial profiling were received against Clayton officers. Traffic stops in Clayton also resulted in very few Resisting Arrest charges, which validates the officers' professional demeanor and ability to de-escalate. Additionally, Clayton officers receive training to prevent the arbitrary use of investigative stops, pretextual stops, consent searches, and intrusive questions. Clayton officers also receive training in Implicit

Bias and Procedural Justice.",True,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cleveland Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clever Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clinton County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Clinton Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cole Camp Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Cole County Sheriff's Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
2023,Columbia Police Dept,,False,VSR_agency_comments_2023.pdf,https://ago.mo.gov/wp-content/uploads/VSRagencynotes2023.pdf
