agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
Clay County Sheriff's Dept,"Clay County, Missouri",county,county_sheriff,199,640,9512,221.6,4.38,6.66,0.66,5.31,10.09,0.53,73.9,False,0,False,,,Clay County
Laclede County Sheriff's Dept,"Laclede County, Missouri",county,county_sheriff,28,46,2322,64.3,4.35,5.13,0.85,4.35,10.16,0.43,54.3,False,0,False,,,Laclede County
Lebanon Police Dept,"Lebanon city, Missouri",place,municipal_police,10,23,1444,130.0,4.35,4.23,1.03,8.7,4.96,1.75,37.5,False,0,False,,,Other
Cottleville Police Dept,"Cottleville city, Missouri",place,municipal_police,59,63,3148,6.8,7.94,3.07,2.59,7.94,3.83,2.07,50.0,False,0,False,,,Other
Johnson County Sheriff's Dept,"Johnson County, Missouri",county,county_sheriff,29,125,3159,331.0,6.4,5.33,1.2,9.6,8.52,1.13,39.4,False,0,False,,,Johnson County
Cass County Sheriff's Dept,"Cass County, Missouri",county,county_sheriff,60,153,4430,155.0,5.23,5.25,1.0,12.42,9.5,1.31,60.6,False,0,False,,,Cass County
Mount Vernon Police Dept,"Mount Vernon city, Missouri",place,municipal_police,29,23,587,-20.7,0.0,0.36,0.0,0.0,1.82,0.0,34.8,False,0,False,,,Other
St Charles County Police Dept,"St. Charles County, Missouri",county,municipal_police,150,386,13864,157.3,3.37,2.05,1.64,5.96,5.69,1.05,68.5,False,0,True,task_force,2026-03,St. Charles County
Duenweg Police Dept,"Duenweg city, Missouri",place,municipal_police,14,44,597,214.3,2.27,1.45,1.57,9.09,3.53,2.58,34.6,False,0,False,,,Other
Clayton Police Dept,"Clayton city, Missouri",place,municipal_police,15,144,4906,860.0,0.69,1.08,0.64,2.08,1.9,1.09,54.5,True,4,False,,,St. Louis County
Lawson Police Dept,"Lawson city, Missouri",place,municipal_police,17,23,843,35.3,0.0,3.1,0.0,0.0,3.23,0.0,8.7,False,0,False,,,Other
