Agency,Region,Year,Stops,Indexed
Warrenton Police Dept,STL Metro,2016,51,124.4
Warrenton Police Dept,STL Metro,2017,34,82.9
Warrenton Police Dept,STL Metro,2018,66,161.0
Warrenton Police Dept,STL Metro,2019,62,151.2
Warrenton Police Dept,STL Metro,2020,37,90.2
Warrenton Police Dept,STL Metro,2021,38,92.7
Warrenton Police Dept,STL Metro,2022,37,90.2
Warrenton Police Dept,STL Metro,2023,20,48.8
Warrenton Police Dept,STL Metro,2024,54,131.7
Washington Police Dept,STL Metro,2014,63,100.0
Washington Police Dept,STL Metro,2015,51,81.0
Washington Police Dept,STL Metro,2016,66,104.8
Washington Police Dept,STL Metro,2017,34,54.0
Washington Police Dept,STL Metro,2018,25,39.7
Washington Police Dept,STL Metro,2019,17,27.0
Washington Police Dept,STL Metro,2020,23,36.5
Washington Police Dept,STL Metro,2021,29,46.0
Washington Police Dept,STL Metro,2022,40,63.5
Washington Police Dept,STL Metro,2023,39,61.9
Washington Police Dept,STL Metro,2024,25,39.7
Webster Groves Police Dept,STL Metro,2014,28,100.0
Webster Groves Police Dept,STL Metro,2015,38,135.7
Webster Groves Police Dept,STL Metro,2016,41,146.4
Webster Groves Police Dept,STL Metro,2017,43,153.6
Webster Groves Police Dept,STL Metro,2018,37,132.1
Webster Groves Police Dept,STL Metro,2019,36,128.6
Webster Groves Police Dept,STL Metro,2020,14,50.0
Webster Groves Police Dept,STL Metro,2021,15,53.6
Webster Groves Police Dept,STL Metro,2022,12,42.9
Webster Groves Police Dept,STL Metro,2023,66,235.7
Webster Groves Police Dept,STL Metro,2024,67,239.3
Wentzville Police Dept,STL Metro,2014,97,100.0
Wentzville Police Dept,STL Metro,2015,62,63.9
Wentzville Police Dept,STL Metro,2016,53,54.6
Wentzville Police Dept,STL Metro,2017,54,55.7
Wentzville Police Dept,STL Metro,2018,104,107.2
Wentzville Police Dept,STL Metro,2019,91,93.8
Wentzville Police Dept,STL Metro,2020,86,88.7
Wentzville Police Dept,STL Metro,2021,107,110.3
Wentzville Police Dept,STL Metro,2022,96,99.0
Wentzville Police Dept,STL Metro,2023,166,171.1
Wentzville Police Dept,STL Metro,2024,159,163.9
Woodson Terrace Police Dept,STL Metro,2014,22,100.0
Woodson Terrace Police Dept,STL Metro,2015,19,86.4
Woodson Terrace Police Dept,STL Metro,2016,31,140.9
Woodson Terrace Police Dept,STL Metro,2017,81,368.2
Woodson Terrace Police Dept,STL Metro,2018,74,336.4
Woodson Terrace Police Dept,STL Metro,2019,25,113.6
Woodson Terrace Police Dept,STL Metro,2020,2,9.1
Woodson Terrace Police Dept,STL Metro,2021,2,9.1
Woodson Terrace Police Dept,STL Metro,2022,7,31.8
Woodson Terrace Police Dept,STL Metro,2023,13,59.1
Cape Girardeau Police Dept,Southeast,2014,50,100.0
Cape Girardeau Police Dept,Southeast,2015,38,76.0
Cape Girardeau Police Dept,Southeast,2016,85,170.0
Cape Girardeau Police Dept,Southeast,2017,93,186.0
Cape Girardeau Police Dept,Southeast,2018,142,284.0
Cape Girardeau Police Dept,Southeast,2019,104,208.0
Cape Girardeau Police Dept,Southeast,2020,55,110.0
Cape Girardeau Police Dept,Southeast,2021,50,100.0
Cape Girardeau Police Dept,Southeast,2022,69,138.0
Cape Girardeau Police Dept,Southeast,2023,101,202.0
Cape Girardeau Police Dept,Southeast,2024,145,290.0
Dexter Police Dept,Southeast,2014,19,100.0
Dexter Police Dept,Southeast,2015,15,78.9
Dexter Police Dept,Southeast,2016,34,178.9
Dexter Police Dept,Southeast,2017,30,157.9
Dexter Police Dept,Southeast,2018,29,152.6
Dexter Police Dept,Southeast,2019,23,121.1
Dexter Police Dept,Southeast,2020,35,184.2
Dexter Police Dept,Southeast,2021,34,178.9
Dexter Police Dept,Southeast,2022,35,184.2
Dexter Police Dept,Southeast,2023,66,347.4
Dexter Police Dept,Southeast,2024,61,321.1
Dunklin County Sheriff's Dept,Southeast,2014,10,100.0
Dunklin County Sheriff's Dept,Southeast,2015,3,30.0
Dunklin County Sheriff's Dept,Southeast,2016,1,10.0
Dunklin County Sheriff's Dept,Southeast,2017,9,90.0
Dunklin County Sheriff's Dept,Southeast,2018,15,150.0
Dunklin County Sheriff's Dept,Southeast,2020,40,400.0
Dunklin County Sheriff's Dept,Southeast,2021,16,160.0
Dunklin County Sheriff's Dept,Southeast,2022,5,50.0
Dunklin County Sheriff's Dept,Southeast,2023,21,210.0
Fredericktown Police Dept,Southeast,2014,24,100.0
Fredericktown Police Dept,Southeast,2015,18,75.0
Fredericktown Police Dept,Southeast,2016,13,54.2
Fredericktown Police Dept,Southeast,2017,13,54.2
Fredericktown Police Dept,Southeast,2018,9,37.5
Fredericktown Police Dept,Southeast,2019,8,33.3
Fredericktown Police Dept,Southeast,2020,4,16.7
Fredericktown Police Dept,Southeast,2021,5,20.8
Fredericktown Police Dept,Southeast,2022,13,54.2
Fredericktown Police Dept,Southeast,2023,36,150.0
Fredericktown Police Dept,Southeast,2024,18,75.0
Jackson Police Dept,Southeast,2014,19,100.0
Jackson Police Dept,Southeast,2015,22,115.8
Jackson Police Dept,Southeast,2016,36,189.5
Jackson Police Dept,Southeast,2017,41,215.8
Jackson Police Dept,Southeast,2018,32,168.4
Jackson Police Dept,Southeast,2019,51,268.4
Jackson Police Dept,Southeast,2020,53,278.9
Jackson Police Dept,Southeast,2021,63,331.6
Jackson Police Dept,Southeast,2022,52,273.7
Jackson Police Dept,Southeast,2023,69,363.2
Jackson Police Dept,Southeast,2024,81,426.3
Kennett Police Dept,Southeast,2014,155,100.0
Kennett Police Dept,Southeast,2015,110,71.0
Kennett Police Dept,Southeast,2016,76,49.0
Kennett Police Dept,Southeast,2017,104,67.1
Kennett Police Dept,Southeast,2018,91,58.7
Kennett Police Dept,Southeast,2019,84,54.2
Kennett Police Dept,Southeast,2020,132,85.2
Kennett Police Dept,Southeast,2021,145,93.5
Kennett Police Dept,Southeast,2022,108,69.7
Kennett Police Dept,Southeast,2023,221,142.6
Kennett Police Dept,Southeast,2024,199,128.4
Mountain View Police Dept,Southeast,2014,24,100.0
Mountain View Police Dept,Southeast,2015,14,58.3
Mountain View Police Dept,Southeast,2016,5,20.8
Mountain View Police Dept,Southeast,2017,1,4.2
Mountain View Police Dept,Southeast,2018,2,8.3
Mountain View Police Dept,Southeast,2019,7,29.2
Mountain View Police Dept,Southeast,2020,9,37.5
Mountain View Police Dept,Southeast,2021,12,50.0
Mountain View Police Dept,Southeast,2022,32,133.3
Mountain View Police Dept,Southeast,2023,31,129.2
Mountain View Police Dept,Southeast,2024,55,229.2
Perry County Sheriff's Dept,Southeast,2014,15,100.0
Perry County Sheriff's Dept,Southeast,2015,31,206.7
Perry County Sheriff's Dept,Southeast,2016,22,146.7
Perry County Sheriff's Dept,Southeast,2017,15,100.0
Perry County Sheriff's Dept,Southeast,2018,49,326.7
Perry County Sheriff's Dept,Southeast,2019,46,306.7
Perry County Sheriff's Dept,Southeast,2020,31,206.7
Perry County Sheriff's Dept,Southeast,2021,21,140.0
Perry County Sheriff's Dept,Southeast,2022,30,200.0
Perry County Sheriff's Dept,Southeast,2023,66,440.0
Perry County Sheriff's Dept,Southeast,2024,78,520.0
Poplar Bluff Police Dept,Southeast,2014,30,100.0
Poplar Bluff Police Dept,Southeast,2015,27,90.0
Poplar Bluff Police Dept,Southeast,2016,23,76.7
Poplar Bluff Police Dept,Southeast,2017,31,103.3
Poplar Bluff Police Dept,Southeast,2018,17,56.7
Poplar Bluff Police Dept,Southeast,2019,20,66.7
Poplar Bluff Police Dept,Southeast,2020,12,40.0
Poplar Bluff Police Dept,Southeast,2021,15,50.0
Poplar Bluff Police Dept,Southeast,2022,16,53.3
Poplar Bluff Police Dept,Southeast,2023,12,40.0
Poplar Bluff Police Dept,Southeast,2024,29,96.7
Scott City Police Dept,Southeast,2014,14,100.0
Scott City Police Dept,Southeast,2015,31,221.4
Scott City Police Dept,Southeast,2016,13,92.9
Scott City Police Dept,Southeast,2017,9,64.3
Scott City Police Dept,Southeast,2018,22,157.1
Scott City Police Dept,Southeast,2019,23,164.3
Scott City Police Dept,Southeast,2020,28,200.0
Scott City Police Dept,Southeast,2021,25,178.6
Scott City Police Dept,Southeast,2022,33,235.7
Scott City Police Dept,Southeast,2023,400,2857.1
Scott County Sheriff's Dept,Southeast,2014,13,100.0
Scott County Sheriff's Dept,Southeast,2015,9,69.2
Scott County Sheriff's Dept,Southeast,2016,23,176.9
Scott County Sheriff's Dept,Southeast,2017,21,161.5
Scott County Sheriff's Dept,Southeast,2018,12,92.3
Scott County Sheriff's Dept,Southeast,2019,9,69.2
Scott County Sheriff's Dept,Southeast,2020,3,23.1
Scott County Sheriff's Dept,Southeast,2021,4,30.8
Scott County Sheriff's Dept,Southeast,2022,18,138.5
Scott County Sheriff's Dept,Southeast,2023,13,100.0
Thayer Police Dept,Southeast,2014,10,100.0
Thayer Police Dept,Southeast,2015,9,90.0
Thayer Police Dept,Southeast,2016,13,130.0
Thayer Police Dept,Southeast,2017,9,90.0
